admin.sidebar.news;Actualités;Kabaruuji
admin.sidebar.content;Dire, Ne pas dire;Haalu, Woto haalu
admin.sidebar.library;Bibliothèque;Defte-manti
admin.sidebar.viewSite;Voir le site;Yiyde lowre ndee
admin.sidebar.logout;Déconnexion;Teppitante
admin.header.welcome;Bienvenue;Bismilla
admin.header.loading;Chargement...;Heɓtude...
admin.header.loadingDictionary;Chargement du dictionnaire...;Heɓtude saggitorde ndee...
admin.header.loadingMembers;Chargement des membres...;Heɓtude terɗe ɗee...
admin.header.loadingBooks;Chargement des livres...;Heɓtude defte ɗee...
admin.dashboard.title;Tableau de bord;Jaagere
admin.dashboard.stats.words;Mots dans le dictionnaire;Helmere e saggitorde
admin.dashboard.stats.members;Membres / Érudits;Terɗe / Gandalɓe
admin.dashboard.stats.news;Actualités publiées;Kabaruuji bayyinaaɗi
admin.dashboard.stats.content;Dire, Ne pas dire;Wiide, Woto wiide
admin.dashboard.welcomeCard.title;Bienvenue sur le tableau de bord;Bismilla e jaagere
admin.dashboard.welcomeCard.text;Utilisez le menu à gauche pour gérer le contenu du site Goomu Fulo Wiɗto :;Huutora doggol nano ngam feewnude ko woni e lowre Goomu Fulo Wiɗto :
admin.dashboard.welcomeCard.dict;Ajouter, modifier ou supprimer des mots;Ɓeydude, waylude walla momtude kelme
admin.dashboard.welcomeCard.members;Gérer les érudits et leurs biographies;Feewnude gandalɓe e nguurndam muudum'en
admin.dashboard.welcomeCard.news;Publier des actualités et articles;Bayyinde kabaruuji e winndanɗe
admin.dashboard.welcomeCard.content;Gérer les expressions linguistiques;Feewnude kelme ɗemngal
admin.common.add;Ajouter;Ɓeydude
admin.common.edit;Modifier;Waylude
admin.common.delete;Supprimer;Momtude
admin.common.save;Enregistrer;Hisnude
admin.common.cancel;Annuler;Faytude
admin.common.actions;Actions;Kuuɗe
admin.common.confirmDelete;Confirmer la suppression ?;A jaɓii momtude ?
admin.common.noData;Aucune donnée;Alaa ko heɓii
admin.common.errorSaving;Erreur lors de l'enregistrement;Juumre e hisnude
admin.common.select;Sélectionner...;Suɓagol...
admin.dictionary.title;Dictionnaire;Saggitorde
admin.dictionary.add;Ajouter un mot;Ɓeydude helmere
admin.dictionary.edit;Modifier le mot;Waylude helmere
admin.dictionary.wordPulaar;Mot (Pulaar);Helmere (Pulaar)
admin.dictionary.translationFr;Français;Faransikoore
admin.dictionary.translationEn;Anglais;Engeleere
admin.dictionary.translationFf;Pulaar;Pulaar
admin.dictionary.category;Catégorie;Mbaydi
admin.dictionary.example;Exemple;Yerirun
admin.dictionary.audioWord;Audio du mot;Bi'ol helmere ndee
admin.dictionary.audioExample;Audio de l'exemple;Bi'ol yerirun ngun
admin.dictionary.noWords;Aucun mot dans le dictionnaire;Alaa helmere e saggitorde
admin.dictionary.record;Enregistrer;Hisnude
admin.dictionary.stop;Arrêter;Dartude
admin.dictionary.reRecord;Ré-enregistrer;Hisnude goɗɗum
admin.dictionary.searchPlaceholder;Rechercher un mot...;Yiylo helmere...
admin.dictionary.catNom;Nom;Innde (Nom)
admin.dictionary.catVerbe;Verbe;Gollal (Verbe)
admin.dictionary.catAdjectif;Adjectif;Sifa (Adjectif)
admin.dictionary.catAdverbe;Adverbe;Sifa-gollal (Adverbe)
admin.dictionary.catExpression;Expression;Bihol (Expression)
admin.dictionary.placeholderFr;Traduction française...;Faamninaare Faransikoore...
admin.dictionary.placeholderFf;Traduction Pulaar...;Faamninaare Pulaar...
admin.dictionary.placeholderEn;Traduction anglaise...;Faamninaare Engeleere...
admin.dictionary.examplePlaceholder;Exemple d'utilisation...;Yerirun...
admin.members.title;Membres;Terɗe
admin.members.add;Ajouter un membre;Ɓeydude tergal
admin.members.edit;Modifier le membre;Waylude tergal
admin.members.name;Nom;Innde
admin.members.role;Rôle;Gollal
admin.members.specialty;Spécialité;Karallaagal
admin.members.joined;Membre depuis;Naatii e
admin.members.noMembers;Aucun membre enregistré;Alaa tergal heɓaa
admin.members.photo;Photo;Nate
admin.members.clickToPhoto;Cliquez pour ajouter une photo;Dobi ngam ɓeydude nate
admin.members.joinedPlaceholder;Ex: 2020;Ex: 2020
admin.members.specialtyPlaceholder;Ex: Expertise Pulaar;Ex: Gandal Pulaar
admin.members.socialMedia;Réseaux sociaux;Jokkondiral e Janngooɓe
admin.members.roleLabel;Rôle;Gollal
admin.members.rolePlaceholderFr;Ex: Secrétaire général;Ex: Koolaaɗo kuuɓal
admin.books.title;Bibliothèque;Defte-manti
admin.books.add;Ajouter un livre;Ɓeydude deftere
admin.books.edit;Modifier le livre;Waylude deftere
admin.books.titleLabel;Titre;Tiitoonde
admin.books.author;Auteur;Binnduɗo
admin.books.price;Prix;Coggu
admin.books.free;Gratuit;Meere
admin.books.noBooks;Aucun livre enregistré;Alaa deftere heɓaa
admin.books.cover;Couverture;Nate
admin.books.file;Fichier;Winndannde
admin.books.downloads;Téléchargements;Tellitinaa
admin.books.notPublished;Non publié;Yaltinaaka
admin.books.coverLabel;Image de couverture;Nate deftere ndee
admin.books.fileLabel;Fichier du livre (PDF, EPUB, ...);Winndannde deftere ndee (PDF, EPUB, ...)
admin.books.existingFile;Fichier existant;Winndannde wonnde nii
admin.books.clickToAddFile;Cliquez pour ajouter un fichier;Dobo ngam ɓeydude winndannde
admin.books.year;Année;Hitaande
admin.books.description;Description;Cifol
admin.books.pricing;Tarification;Njeenaari
admin.books.paymentLink;Lien de paiement;Jokkondiral yoɓo
admin.books.publishThis;Publier ce livre;Yaltinde ndee deftere
admin.news.title;Actualités;Kabaaruuji
admin.news.add;Ajouter une actualité;Ɓeydude kabaaru
admin.news.edit;Modifier l'actualité;Waylude kabaaru
admin.news.titleLabel;Titre;Tiitoonde
admin.news.category;Catégorie;Mbaydi
admin.news.date;Date;Ñalngu
admin.news.status;Statut;Mbaydi
admin.news.published;Publié;Yaltinaama
admin.news.draft;Brouillon;Binndol
admin.news.image;Image à la une;Nate dow
admin.news.excerpt;Extrait;Dow-kabaaru
admin.news.content;Contenu;Kuurun kabaaru
admin.news.publishNow;Publier maintenant;Yaltinde jooni
admin.news.noNews;Aucune actualité publiée;Alaa kabaaru yaltinaa
admin.news.coverLabel;Image de l'actualité;Nate kabaaru oo
admin.news.clickToAddImage;Cliquez pour ajouter une image;Dobo ngam ɓeydude nate
admin.news.redirectLink;Lien de redirection (URL);Jokkondiral (URL)
admin.news.contactEmail;Email de contact;E-maayel
admin.news.contactPhone;Téléphone de contact;Telefoon
admin.news.catEvent;Événement;Pottital
admin.content.title;Dire, Ne pas dire;Wiyde e wiyde ala
admin.content.add;Ajouter une expression;Ɓeydude bihol
admin.content.edit;Modifier l'expression;Waylude bihol
admin.content.dire;On dit;Wiyde
admin.content.nePasDire;On ne dit pas;Wiyde ala
admin.content.explanation;Explication;Pinal
admin.content.noContent;Aucune expression enregistrée;Alaa bihol winndaa
admin.content.catCommon;Erreurs courantes;Boofooti
admin.content.catBorrowings;Emprunts;Emprunts
admin.content.catIncorrect;Usage incorrect;Kuutoragol bonngol
admin.content.catGrammar;Règles grammaticales;Sariyaaji ɗemngal
admin.content.weSayLabel;On dit;Ma-en wiy
admin.content.weDontSayLabel;On ne dit pas;Wana nii wiyete
admin.content.explanationLabel;Explication;Pinal
